date,trips,active_vehicles
2015-01-01,56437,6885
2015-01-02,39189,6330
2015-01-03,58449,6510
2015-01-04,40798,5838
2015-01-05,42752,6884
2015-01-06,52426,7216
2015-01-07,62102,7444
2015-01-08,71413,7999
2015-01-09,70296,7989
2015-01-10,78484,7346
2015-01-11,57026,6571
2015-01-12,57646,7364
2015-01-13,63499,7559
2015-01-14,63329,7849
2015-01-15,66729,8080
2015-01-16,72480,8273
2015-01-17,73363,7527
2015-01-18,72473,6863
2015-01-19,45755,5945
2015-01-20,54772,7592
2015-01-21,59147,7948
2015-01-22,65602,8267
2015-01-23,71819,8490
2015-01-24,80709,7643
2015-01-25,57895,6787
2015-01-26,43395,6533
2015-01-27,25244,3496
2015-01-28,60446,7815
2015-01-29,68994,8376
2015-01-30,83723,8693
2015-01-31,92257,8223
2015-02-01,76910,7752
2015-02-02,68980,7080
2015-02-03,70188,7840
2015-02-04,66835,8185
2015-02-05,80913,8833
2015-02-06,85940,8937
2015-02-07,81157,8119
2015-02-08,63000,7226
2015-02-09,61956,7688
2015-02-10,64766,8029
2015-02-11,72470,8515
2015-02-12,83234,9123
2015-02-13,98024,9604
2015-02-14,100345,8973
2015-02-15,89401,7939
2015-02-16,72098,7551
2015-02-17,73051,8403
2015-02-18,72243,8442
2015-02-19,88757,9030
2015-02-20,100915,9649
2015-02-21,98380,8765
2015-02-22,66440,7620
2015-02-23,71217,8197
2015-02-24,79115,8773
2015-02-25,74691,8830
2015-02-26,83568,9227
2015-02-27,88806,9486
2015-02-28,88181,8681
